file,plain_name,use,job_ids,profiles,quantity_by_job,selections,canonical_path,sha256
cable_tie_saddle_fit_gauge.stl,Cable Tie Saddle Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00B,abs_rapido_cradle_0p4,00B:1,required,stl/cable_tie_saddle_fit_gauge.stl,8de2b07efef5bef8ef9297407c0bd22dd7945adc16f84fd0dab236e304398598
calibration_puck.stl,Calibration Puck,PRINT_VIA_READY_JOB_ONLY,03D,abs_rapido_calibration_0p4,03D:2,required,stl/calibration_puck.stl,3d232103d1cc89d083cc700526abe40344db3f34f80609a5f134cb37a9247ce6
camera_plate_universal.stl,Camera Plate Universal,PRINT_VIA_READY_JOB_ONLY,03C3,petg_general_0p4,03C3:1,camera_mast_optional,stl/camera_plate_universal.stl,7fb63205ddc37b517ee452eda352893c7912cebe74086d977ef0beb8ec2d006f
compliant_tool_body.stl,Compliant Tool Body,PRINT_VIA_READY_JOB_ONLY,04A,abs_rapido_precision_0p4,04A:1,any_tool_route,stl/compliant_tool_body.stl,18c8d7ff2d57c0785b324c58e93b3c6558db7c56c339270ab183307b991225ba
compliant_tool_grip_fit_test.stl,Compliant Tool Grip Fit Test,PRINT_VIA_READY_JOB_ONLY,00C,abs_rapido_precision_0p4,00C:1,required,stl/compliant_tool_grip_fit_test.stl,2c892ebeccd9d4512bf877cac3c1d56c87329c1a30a47165221480021104d935
compliant_tool_top_cap.stl,Compliant Tool Top Cap,PRINT_VIA_READY_JOB_ONLY,04A,abs_rapido_precision_0p4,04A:2,any_tool_route,stl/compliant_tool_top_cap.stl,e7adbf51fd9382a4eb2b9a9dd25df677d43fd488c4584c2bf3e3e7d1599b9081
hardware_fit_gauge.stl,Hardware Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00A; 00E; 00F,abs_rapido_tray_structural_0p4; abs_rapido_general_0p4; abs_rapido_calibration_0p4,00A:1; 00E:1; 00F:1,required,stl/hardware_fit_gauge.stl,4a9a35b618a420931b7e8b6b717aee4a3eb68f8948fff04e5a69fd65266e9e42
keyboard_corner_fit_test.stl,Keyboard Corner Fit Test,PRINT_VIA_READY_JOB_ONLY,00A,abs_rapido_tray_structural_0p4,00A:1,required,stl/keyboard_corner_fit_test.stl,c12095d3506ea86025fcef6cd34702efb391aec1e00c9b23fd77bdb250703ad3
keyboard_rear_clamp.stl,Keyboard Rear Clamp,PRINT_VIA_READY_JOB_ONLY,03B,abs_rapido_general_0p4,03B:2,required,stl/keyboard_rear_clamp.stl,78c591895ae8392a5af9832f56cb7f15cb6a401c490153a1914b71ff5bcba373
keyboard_station_left.stl,Keyboard Station Left,PRINT_VIA_READY_JOB_ONLY,01,abs_rapido_tray_structural_0p4,01:1,required,stl/keyboard_station_left.stl,a19b4288b9d6c3fae66f3baa3aa7726fc4acaa440bdb3f16ad3a7ea7791e9a1f
keyboard_station_right.stl,Keyboard Station Right,PRINT_VIA_READY_JOB_ONLY,02,abs_rapido_tray_structural_0p4,02:1,required,stl/keyboard_station_right.stl,bc9cc0d252da8d1702c56bbd0afaf6ed79e5dd9891d121dd54372e4692675cf0
keyboard_tip_TPU_6mm.stl,Keyboard Tip TPU 6mm,PRINT_VIA_READY_JOB_ONLY,05C; 05D,tpu95a_0p4,05C:1; 05D:3,keyboard_rod_route,stl/keyboard_tip_TPU_6mm.stl,22ba42201e769ff4ed146b125d69d585b7188b7f274a1b3430b741ad62931d37
m3_head_fit_gauge.stl,M3 Head Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00C; 00F,abs_rapido_precision_0p4; abs_rapido_calibration_0p4,00C:1; 00F:1,required,stl/m3_head_fit_gauge.stl,7d1206ee09722d99cff871031562943e405c263ea5d1d1f5d82e193bf403cb2e
m4_captive_nut_fit_gauge.stl,M4 Captive Nut Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00B,abs_rapido_cradle_0p4,00B:1,required,stl/m4_captive_nut_fit_gauge.stl,5771bfa01542ab24999c806f4347486d6cc1800f6a13a17ebfdb9264644e8aec
m4_washer_fit_gauge.stl,M4 Washer Fit Gauge,PRINT_VIA_READY_JOB_ONLY,00A; 00B,abs_rapido_tray_structural_0p4; abs_rapido_cradle_0p4,00A:1; 00B:1,required,stl/m4_washer_fit_gauge.stl,98f27d3b7f274754a274f9856a8318c8b0c98f2fb5b485223fec74236ae349ff
m5_nut_trap_fit_gauge.stl,M5 Nut Trap Fit Gauge,PRINT_VIA_READY_JOB_ONLY,06,asa_structural_0p4,06:1,camera_mast_optional,stl/m5_nut_trap_fit_gauge.stl,a6a8dd06689060766bb31f7eca10e6910fb3313a758af185bcbcdfde3c40a01e
