file,plain_name,use,job_ids,profiles,quantity_by_job,selections,canonical_path,sha256
BOARD_REFERENCE_DO_NOT_PRINT.stl,Board Reference Do Not Print,DO_NOT_PRINT,,,,,stl/BOARD_REFERENCE_DO_NOT_PRINT.stl,3cc0c5972031730f19d4cad90d2303915a75daa4de75c8a387862e6e08a6a6fa
cable_tie_saddle_fit_gauge.stl,Cable Tie Saddle Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/cable_tie_saddle_fit_gauge.stl,8de2b07efef5bef8ef9297407c0bd22dd7945adc16f84fd0dab236e304398598
hardware_fit_gauge.stl,Hardware Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00A,abs_rapido_tray_structural_0p4,00A:1,required,stl/hardware_fit_gauge.stl,4a9a35b618a420931b7e8b6b717aee4a3eb68f8948fff04e5a69fd65266e9e42
keyboard_corner_fit_test.stl,Keyboard Corner Fit Test,TRACEABILITY_ONLY_DO_NOT_PRINT,00A,abs_rapido_tray_structural_0p4,00A:1,required,stl/keyboard_corner_fit_test.stl,c12095d3506ea86025fcef6cd34702efb391aec1e00c9b23fd77bdb250703ad3
keyboard_station_left.stl,Keyboard Station Left,TRACEABILITY_ONLY_DO_NOT_PRINT,01,abs_rapido_tray_structural_0p4,01:1,required,stl/keyboard_station_left.stl,a19b4288b9d6c3fae66f3baa3aa7726fc4acaa440bdb3f16ad3a7ea7791e9a1f
keyboard_station_right.stl,Keyboard Station Right,TRACEABILITY_ONLY_DO_NOT_PRINT,02,abs_rapido_tray_structural_0p4,02:1,required,stl/keyboard_station_right.stl,bc9cc0d252da8d1702c56bbd0afaf6ed79e5dd9891d121dd54372e4692675cf0
m4_captive_nut_fit_gauge.stl,M4 Captive Nut Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/m4_captive_nut_fit_gauge.stl,5771bfa01542ab24999c806f4347486d6cc1800f6a13a17ebfdb9264644e8aec
m4_washer_fit_gauge.stl,M4 Washer Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00A; 00B,abs_rapido_tray_structural_0p4; abs_rapido_cradle_0p4,00A:1; 00B:1,required,stl/m4_washer_fit_gauge.stl,98f27d3b7f274754a274f9856a8318c8b0c98f2fb5b485223fec74236ae349ff
phone_m3_insert_fit_gauge.stl,Phone M3 Insert Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/phone_m3_insert_fit_gauge.stl,54a7990f706256dd30d3d5ea7487f479e970c1e1d8f212be1996b6df6d1a2e65
phone_tcp_station.stl,Phone TCP Station,TRACEABILITY_ONLY_DO_NOT_PRINT,03A,abs_rapido_cradle_0p4,03A:1,required,stl/phone_tcp_station.stl,63e02e28f9bb818007564eab7e82e2b9ce8417f30bdf3cbec3c3a86ec08ac32e
phone_width_fit_test.stl,Phone Width Fit Test,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/phone_width_fit_test.stl,1091a6d591259a4a22b6d9fd7b36d4a8264807ef5c169fe3c5b1019a16420cfa
station_locator_fit_gauge.stl,Station Locator Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00A; 00B,abs_rapido_tray_structural_0p4; abs_rapido_cradle_0p4,00A:1; 00B:1,required,stl/station_locator_fit_gauge.stl,7b34ff9a05495ce702310171cd27c5201e0c1ee54fede8c9cdbeea7260d3d1d5
